0.612613,0.630631,0.648649,0.653904,0.644444,0.643644,0.637495,0.631757,0.62696,0.627928,0.625171,0.627628,0.626473,0.625054,0.624024,0.623498,0.623388,0.624458,0.622886,0.624625,0.62391,0.623533,0.624625,0.625501,0.626426,0.624856,0.626182,0.625483,0.624625,0.624124,
0.525526,0.533033,0.527528,0.51952,0.527928,0.521021,0.520378,0.523273,0.518519,0.515916,0.51406,0.514515,0.517672,0.516517,0.514715,0.514452,0.51157,0.509343,0.509562,0.509159,0.509653,0.507781,0.506855,0.507257,0.506907,0.505891,0.505617,0.504826,0.505436,0.506006,
0.612613,0.644144,0.652653,0.650901,0.648048,0.635636,0.631489,0.63476,0.630297,0.633333,0.635272,0.636136,0.636175,0.635564,0.634234,0.636261,0.636813,0.637804,0.638059,0.63964,0.643215,0.641551,0.641337,0.641391,0.640961,0.641488,0.640974,0.639318,0.639329,0.638739,
0.408408,0.418919,0.422422,0.422673,0.428228,0.42993,0.425139,0.420045,0.422089,0.421321,0.418782,0.417918,0.420651,0.420635,0.424424,0.42774,0.428723,0.430097,0.428007,0.42988,0.430573,0.431477,0.430996,0.432307,0.432312,0.432317,0.431988,0.430824,0.429844,0.429029,
0.108108,0.0960961,0.0920921,0.0968468,0.0960961,0.0965966,0.0978121,0.0987237,0.0997664,0.0993994,0.100464,0.0990991,0.0981751,0.0982411,0.0980981,0.0987237,0.0983925,0.0985986,0.0981508,0.098048,0.0998141,0.100874,0.101319,0.101101,0.101502,0.102564,0.102213,0.101566,0.102102,0.102803,
0.429429,0.424925,0.423423,0.41967,0.416216,0.415916,0.412698,0.411787,0.413747,0.416216,0.420147,0.424424,0.424116,0.423638,0.425225,0.423986,0.424307,0.424258,0.426901,0.43003,0.428571,0.427791,0.426296,0.427302,0.427508,0.427697,0.426093,0.425247,0.425702,0.425726,
0.486486,0.495495,0.497497,0.491742,0.496697,0.488989,0.483054,0.481607,0.478145,0.478078,0.477477,0.474975,0.471933,0.46997,0.469469,0.470908,0.470235,0.469469,0.469101,0.469219,0.468039,0.469287,0.467685,0.466466,0.465706,0.467198,0.467023,0.468683,0.468468,0.468268,
0.357357,0.399399,0.396396,0.397147,0.391592,0.384885,0.383097,0.387012,0.379379,0.381081,0.381381,0.382883,0.38577,0.383097,0.382583,0.380443,0.379438,0.381715,0.380117,0.378378,0.378521,0.377423,0.377203,0.376877,0.376937,0.379418,0.379379,0.377628,0.378793,0.378979,
0.552553,0.542042,0.542543,0.5503,0.546547,0.54955,0.547405,0.542793,0.538872,0.537838,0.533989,0.535035,0.534073,0.532819,0.534735,0.535473,0.534711,0.533033,0.532006,0.532883,0.531532,0.531395,0.531793,0.531156,0.530931,0.530839,0.529418,0.530245,0.5306,0.531431,
0.486486,0.489489,0.504505,0.517267,0.516517,0.514515,0.513085,0.518769,0.519853,0.523123,0.520885,0.516016,0.514669,0.515659,0.516116,0.516329,0.515103,0.511512,0.509088,0.508108,0.507794,0.509282,0.509727,0.51026,0.509429,0.508201,0.506729,0.505148,0.503573,0.503904,
